Name                                                                            Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------
/home/gdub/tmp/metrics/2007-01-13/django/__init__                                   1      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/conf/__init__                             74     26    65%
/home/gdub/tmp/metrics/2007-01-13/django/conf/global_settings                      73      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/__init__                           0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/admin/__init__                     0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/admin/models                      37      8    78%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/auth/__init__                     57     46    19%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/auth/create_superuser             69     62    10%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/auth/management                   37     10    73%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/auth/models                      192     87    55%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/comments/__init__                  0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/comments/models                  198     75    62%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/contenttypes/__init__              0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/contenttypes/management           22      4    82%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/contenttypes/models               31      4    87%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/flatpages/__init__                 0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/flatpages/models                  25      2    92%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/markup/__init__                    0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/markup/templatetags/__init__       0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/markup/templatetags/markup        32     23    28%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/redirects/__init__                 0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/redirects/models                  18      1    94%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/sessions/__init__                  0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/sessions/models                   43     24    44%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/sites/__init__                     0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/sites/management                  11      1    91%
/home/gdub/tmp/metrics/2007-01-13/django/contrib/sites/models                      20      3    85%
/home/gdub/tmp/metrics/2007-01-13/django/core/__init__                              0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/core/cache/__init__                       23      6    74%
/home/gdub/tmp/metrics/2007-01-13/django/core/cache/backends/__init__               0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/core/cache/backends/base                  26     12    54%
/home/gdub/tmp/metrics/2007-01-13/django/core/cache/backends/simple                52     34    35%
/home/gdub/tmp/metrics/2007-01-13/django/core/exceptions                           12      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/core/handlers/__init__                     0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/core/handlers/base                        99     90     9%
/home/gdub/tmp/metrics/2007-01-13/django/core/handlers/wsgi                       124     90    27%
/home/gdub/tmp/metrics/2007-01-13/django/core/management                          972    608    37%
/home/gdub/tmp/metrics/2007-01-13/django/core/signals                               3      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/core/urlresolvers                        165    132    20%
/home/gdub/tmp/metrics/2007-01-13/django/core/validators                          393    285    27%
/home/gdub/tmp/metrics/2007-01-13/django/db/__init__                               30     13    57%
/home/gdub/tmp/metrics/2007-01-13/django/db/backends/__init__                       0      0   100%
/home/gdub/tmp/metrics/2007-01-13/django/db/backends/sqlite3/__init__               0      0   100%
