Name                                                                               Stmts   Miss  Cover
------------------------------------------------------------------------------------------------------
/home/gdub/tmp/metrics/2007-07-13/django/__init__                                      6      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/conf/__init__                                76     26    66%
/home/gdub/tmp/metrics/2007-07-13/django/conf/global_settings                         83      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/__init__                              0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/admin/__init__                        0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/admin/models                         38      8    79%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/auth/__init__                        64     53    17%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/auth/create_superuser                69     62    10%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/auth/management                      37     10    73%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/auth/models                         204    104    49%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/comments/__init__                     0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/comments/models                     198     75    62%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/contenttypes/__init__                 0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/contenttypes/generic                161     96    40%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/contenttypes/management              24      4    83%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/contenttypes/models                  34      4    88%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/csrf/__init__                         0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/__init__                   1      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/datastructures           133     94    29%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/plugins/__init__           0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/plugins/calendars         53     33    38%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/plugins/fieldchoices      50     30    40%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/plugins/objects           12      5    58%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/databrowse/sites                     81     49    40%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/flatpages/__init__                    0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/flatpages/models                     25      2    92%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/formtools/__init__                    0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/humanize/__init__                     0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/humanize/templatetags/__init__        0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/humanize/templatetags/humanize       46     33    28%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/localflavor/__init__                  0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/markup/__init__                       0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/markup/models                         0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/markup/templatetags/__init__          0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/markup/templatetags/markup           33     23    30%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/markup/tests                         41     32    22%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/redirects/__init__                    0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/redirects/models                     18      1    94%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sessions/__init__                     0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sessions/middleware                  76     51    33%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sessions/models                      49     29    41%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sessions/tests                        4      2    50%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sitemaps/__init__                    62     43    31%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sites/__init__                        0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sites/management                     11      1    91%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/sites/models                         32     11    66%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/syndication/__init__                  0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/webdesign/__init__                    0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/webdesign/lorem_ipsum                30     22    27%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/webdesign/models                      0      0   100%
/home/gdub/tmp/metrics/2007-07-13/django/contrib/webdesign/tests                       6      2    67%
