Name                                                                                        Stmts   Miss  Cover
---------------------------------------------------------------------------------------------------------------
/home/gdub/tmp/metrics/2009-01-13/django/__init__                                              15      5    67%
/home/gdub/tmp/metrics/2009-01-13/django/bin/__init__                                           0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/conf/__init__                                         79     27    66%
/home/gdub/tmp/metrics/2009-01-13/django/conf/global_settings                                  98      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/__init__                                       0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/__init__                                21      3    86%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/filterspecs                            104     61    41%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/helpers                                147    103    30%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/models                                  40      6    85%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/options                                444    272    39%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/sites                                  188    103    45%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/templatetags/__init__                    0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/templatetags/adminmedia                  9      2    78%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/util                                   100     75    25%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/validation                             173      4    98%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/views/__init__                           0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/views/decorators                        46     20    57%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/views/main                             179    149    17%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admin/widgets                                188     38    80%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admindocs/__init__                             0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admindocs/utils                               61     39    36%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/admindocs/views                              213    167    22%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/__init__                                 63      9    86%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/admin                                    66     36    45%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/backends                                 39      4    90%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/decorators                               37      3    92%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/forms                                   126     18    86%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/management/__init__                      36     10    72%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/management/commands/__init__              0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/management/commands/createsuperuser      89     52    42%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/middleware                               11      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/models                                  226     49    78%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/tests/__init__                            5      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/tests/basic                               1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/tests/forms                               1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/tests/tokens                              1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/tests/views                              95      8    92%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/tokens                                   30      4    87%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/auth/views                                   105     22    79%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/__init__                             38     11    71%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/admin                                11      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/forms                                78      2    97%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/managers                             12      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/models                               95     18    81%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/signals                               4      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/templatetags/__init__                 0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/templatetags/comments               111     16    86%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/views/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/views/comments                       57      6    89%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/views/moderation                     54     34    37%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/comments/views/utils                          26      2    92%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/contenttypes/__init__                          0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/contenttypes/generic                         214     34    84%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/contenttypes/management                       29      8    72%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/contenttypes/models                           46      3    93%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/contenttypes/tests                             0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/contenttypes/views                            44     19    57%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/csrf/__init__                                  0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/csrf/middleware                               59      4    93%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/csrf/models                                    0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/csrf/tests                                    80      1    99%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/__init__                            1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/datastructures                    147    101    31%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/plugins/__init__                    0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/plugins/calendars                  54     35    35%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/plugins/fieldchoices               49     31    37%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/plugins/objects                    12      5    58%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/databrowse/sites                              82     49    40%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/flatpages/__init__                             0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/flatpages/admin                               15      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/flatpages/models                              20      2    90%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/formtools/__init__                             0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/formtools/models                               0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/formtools/preview                             55      5    91%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/formtools/tests                               68      1    99%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/formtools/utils                               13      2    85%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/formtools/wizard                              89     21    76%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/__init__                                   0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/__init__                             18      7    61%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/driver                               28     25    11%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/envelope                             52     34    35%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/error                                13      6    54%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/geomtype                             36     26    28%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/libgdal                              44     25    43%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/prototypes/__init__                   0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/gdal/prototypes/ds                        48     45     6%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/management/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/models                                   148    104    30%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/gis/tests/__init__                            74     70     5%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/humanize/__init__                              0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/humanize/templatetags/__init__                 0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/humanize/templatetags/humanize                68      5    93%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/__init__                           0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ar/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ar/ar_provinces                    2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ar/forms                          61      3    95%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/at/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/at/at_states                      10      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/at/forms                          27      1    96%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/au/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/au/au_states                       1      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/au/forms                          25      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/br/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/br/br_states                       2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/br/forms                         104      6    94%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ca/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ca/ca_provinces                   32      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ca/forms                          68      3    96%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ch/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ch/ch_states                       2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/ch/forms                          67      6    91%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/cl/__init__                        0      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/cl/cl_regions                      2      0   100%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/cl/forms                          46      3    93%
/home/gdub/tmp/metrics/2009-01-13/django/contrib/localflavor/de/__init__                        0      0   100%
