Name                                                                                                                                    Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/__init__                                                   14      3    79%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/bin/__init__                                                0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/__init__                                              83     17    80%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/global_settings                                      126      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/__init__                                        1      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/ca/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/ca/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/de/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/de/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/en/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/en/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/en_GB/__init__                                  0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/en_GB/formats                                  14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/es/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/es/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/es_AR/__init__                                  0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/es_AR/formats                                  14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/fi/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/fi/formats                                      7      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/fr/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/fr/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/nl/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/nl/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/ru/__init__                                     0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/locale/ru/formats                                     14      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/urls/__init__                                          0      0   100%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/urls/defaults                                         31      2    94%
/home/gdub/grad/2011/software measurement metrics/assignment3/2011-01-13/django/conf/urls/i18n                                              2      0   100%
