Name                                                                                                Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------------------------------
/home/gdub/tmp/metrics/2011-10-26/django/__init__                                                      14      4    71%
/home/gdub/tmp/metrics/2011-10-26/django/bin/__init__                                                   0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/__init__                                                 94     16    83%
/home/gdub/tmp/metrics/2011-10-26/django/conf/global_settings                                         115      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/__init__                                           1      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/ca/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/ca/formats                                        14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/de/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/de/formats                                        14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/en/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/en/formats                                        14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/en_GB/__init__                                     0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/en_GB/formats                                     14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/es/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/es/formats                                        14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/es_AR/__init__                                     0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/es_AR/formats                                     14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/fi/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/fi/formats                                         7      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/fr/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/fr/formats                                        14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/nl/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/nl/formats                                        14      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/ru/__init__                                        0      0   100%
/home/gdub/tmp/metrics/2011-10-26/django/conf/locale/ru/formats                                        14      0   100%
